Rank,State,Spending
1,Virginia,56.9
2,California,56.7
3,Texas,42.1
4,Florida,22.8
5,Maryland,19.9
6,Georgia,18.6
7,Pennsylvania,16.8
8,Arizona,15.3
9,Massachusetts,15.1
10,North Carolina,14.7
11,Alabama,14.3
12,Missouri,14.3
13,New York,13.6
14,Washington,13.5
15,Connecticut,12.6
16,Kentucky,12.3
17,New Jersey,11
18,Colorado,10.7
19,Ohio,10.3
20,Illinois,9.2
21,Indiana,9.2
22,Louisiana,9.1
23,South Carolina,9
24,Wisconsin,8.9
25,Hawaii,8.8
26,District of Columbia,8.4
27,Michigan,7.3
28,Oklahoma,7.1
29,Kansas,6.9
30,Mississippi,5.7
31,Tennessee,5.4
32,Alaska,4.9
33,Utah,4.4
34,New Mexico,3.3
35,Nevada,3.3
36,Minnesota,2.8
37,Oregon,2.7
38,Arkansas,2.7
39,Maine,2.4
40,Nebraska,2.1
41,Iowa,2.1
42,New Hampshire,2
43,Rhode Island,1.4
44,North Dakota,1.1
45,West Virginia,1.1
46,South Dakota,1
47,Idaho,0.9
48,Delaware,0.9
49,Montana,0.9
50,Vermont,0.8
51,Wyoming,0.6
