Year,Contractor,Revenue
2002,Academi,0.6
2002,ICTS International,0.3
2002,Northbrige Services,1
2002,Triple Canopy,2
2002,Prosegur,0.233
2002,Aegis Defence Services,0.6
2002,GK Sierra,0.1
2002,KBR,0.54
2002,Corps Security,0.5
2002,Defion International,0.2
2002,ICTS Europe,0.47902
2002,CHUBB Fire & Security,0.8
2003,Academi,1.6
2003,ICTS International,1.3
2003,Northbrige Services,2
2003,Triple Canopy,2.5
2003,Prosegur,1.233
2003,Aegis Defence Services,1.6
2003,GK Sierra,1.1
2003,KBR,1.54
2003,Corps Security,1.5
2003,Defion International,1.2
2003,ICTS Europe,1.47902
2003,CHUBB Fire & Security,1.8
2004,Academi,2.6
2004,ICTS International,2.3
2004,Northbrige Services,3
2004,Triple Canopy,3.5
2004,Prosegur,2.233
2004,Aegis Defence Services,2.6
2004,GK Sierra,2.1
2004,KBR,2.54
2004,Corps Security,2.5
2004,Defion International,2.2
2004,ICTS Europe,2.47902
2004,CHUBB Fire & Security,2.8
2005,Academi,3.6
2005,ICTS International,3.3
2005,Northbrige Services,4
2005,Triple Canopy,3.5
2005,Prosegur,2.233
2005,Defion International,2.6
2005,ICTS Europe,2.1
2005,CHUBB Fire & Security,2.54
2006,Academi,2.5
2006,ICTS International,2.54
2006,Northbrige Services,2.5
2006,Triple Canopy,2.2
2006,Prosegur,2.47902
2006,Defion International,3.5
2006,ICTS Europe,2.233
2006,CHUBB Fire & Security,0.2
2007,Academi,0.4
2007,ICTS International,0.6
2007,Northbrige Services,0.2
2007,Triple Canopy,2.6
2007,Prosegur,2.47902
2007,Defion International,3.5
2007,ICTS Europe,2.233
2007,CHUBB Fire & Security,0.2
2008,Academi,0.4
2008,ICTS International,0.6
2008,Northbrige Services,0.2
2008,Triple Canopy,2.6
2008,Prosegur,2.47902
2008,Defion International,3.5
2008,ICTS Europe,0.2
2008,CHUBB Fire & Security,2.6
2009,Academi,2.47902
2009,ICTS International,3.5
2009,Northbrige Services,0.2
2009,Triple Canopy,2.6
2009,Prosegur,2.47902
2009,Defion International,3.5
2009,ICTS Europe,0.2
2009,CHUBB Fire & Security,2.6
