Interest in being stationed in the US,Proficient in physical training exercises,Able to appropriately utilize survival skills learned in SERE,Proficiency in multiple languages,Experience leading missions,Experience leading night missions,Academic performance,Ability to exercise medical training in the field
5,73,98,48,76,73,0,70
32,33,44,41,32,39,22,30
100,100,100,97,98,99,98,98
81,79,82,75,75,81,77,79
99,98,99,99,97,98,97,98
83,74,75,74,59,79,56,64
100,,,,59,56,1,100
74,33,63,34,43,71,27,54
94,64,100,79,100,100,41,93
99,94,98,95,100,98,93,95
87,84,94,90,91,69,90,85
98,100,99,75,91,97,16,95
99,11,98,93,100,100,22,100
69,,,,66,59,77,66
76,,,,65,86,30,77
99,97,94,90,96,97,95,97
99,99,89,95,90,99,86,95
50,25,80,30,80,100,25,80
44,,,,50,47,50,50
98,99,100,99,99,100,99,99
99,99,99,99,98,99,98,98
50,0,81,0,30,50,29,50
100,100,100,100,100,100,100,100
0,0,0,0,0,0,0,0
99,99,100,97,97,99,99,100
91,76,93,87,92,75,98,91
82,38,57,39,61,99,7,54
85,89,91,83,96,83,92,95
82,9,94,22,83,86,29,88
84,93,85,86,87,89,88,89
95,91,93,87,93,95,93,92
97,99,99,97,100,99,97,98
84,71,89,26,86,97,7,95
78,77,86,81,68,76,83,79
89,14,91,29,100,100,27,95
50,50,50,50,50,51,53,50
100,100,100,99,100,100,0,100
81,70,78,29,77,67,45,88
77,87,86,90,97,85,82,88
66,60,64,29,100,88,31,44
80,,,,84,77,86,86
75,82,86,77,76,76,80,88
80,82,0,29,56,68,60,38
24,36,67,66,93,55,38,79
50,18,76,23,73,81,13,74
40,,,,65,58,54,51
56,72,56,74,34,62,81,72
84,94,93,100,80,90,28,77
74,68,74,72,82,71,78,84
100,98,98,99,98,99,50,99
68,17,76,39,54,100,17,89
64,67,75,83,98,77,74,81
83,77,84,34,80,65,73,71
66,42,39,33,40,40,29,29
71,34,98,28,98,99,10,99
100,99,99,99,98,98,98,98
73,9,100,39,85,99,37,76
93,91,85,80,79,89,73,76
61,63,79,69,71,60,74,69
67,65,31,68,21,70,68,71
17,20,83,85,100,88,13,83
80,84,88,70,92,77,28,91
35,35,70,2,82,89,20,81
70,71,90,67,4,24,14,23
81,74,79,96,88,80,83,87
100,77,73,77,63,61,33,69
76,68,66,70,81,74,58,65
80,80,90,100,50,90,100,90
71,72,72,74,62,68,72,71
31,27,67,24,72,78,19,51
70,66,72,61,67,66,73,68
100,96,100,74,100,100,7,100
57,44,57,13,70,66,21,53
76,81,91,68,73,77,91,69
100,100,100,100,100,100,100,100
94,64,30,49,70,60,50,56
72,,,,59,98,6,88
97,98,98,98,98,100,96,98
64,67,63,65,64,63,66,68
86,27,74,66,92,94,24,95
84,15,89,57,100,100,19,100
67,68,72,70,67,65,67,30
79,76,76,75,73,79,80,76
89,61,75,66,98,60,81,96
97,100,100,76,100,80,55,84
81,,,,98,98,82,82
94,91,95,90,95,89,34,84
88,98,99,99,99,98,98,99
28,30,36,18,22,35,34,37
98,97,90,99,99,95,96,93
75,76,75,80,81,85,73,80
83,99,96,94,99,96,90,99
