id,user,id,followers_count,indegree,outdegree,Degree,eigencentrality,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity,color
1,@interactionorg,1,32449,5,6,11,0.220081,31,31,22,53,2,0.666667,0.75,607.5,0.026321,Greater than 30,#FF7575
2,@worldbank,2,2830344,420,7,427,1,31,1244,94,1338,2,0.888889,0.9375,4365.369048,0.121184,Greater than 30,#FF7575
3,@kgeorgieva,3,,18,0,18,0.264785,31,56,0,56,0,0,0,0,0.03271,Greater than 30,#FF7575
4,@ifc_org,4,136992,87,3,90,0.389581,0,299,21,320,2,0.615385,0.6875,525.297619,0.037877,0 - 4,#FF75FF
5,@jeffthindwa,5,1416,0,1,1,0,31,0,2,2,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
6,@nancyvr13,6,120,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
7,@petepizarro,7,54578,57,3,60,0.093212,0,57,134,191,3,0.555556,0.633333,484,0.018065,0 - 4,#FF75FF
8,@cghuerta967,8,112,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
9,@yakamalu,9,188,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
10,@analu_granda,10,491,1,5,6,0.001635,0,1,14,15,3,0.458333,0.560606,7,0.000636,0 - 4,#FF75FF
11,@edgebuildings,11,20829,3,1,4,0.005549,0,8,2,10,3,0.409091,0.462963,3,0.000745,0 - 4,#FF75FF
12,@cguzman365,12,1040,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
13,@rscribeiro,13,166,0,1,1,0,0,0,1,1,3,0.409091,0.462963,0,0.000446,0 - 4,#FF75FF
14,@educacionpub,14,2387,0,2,2,0,0,0,2,2,4,0.392857,0.477273,0,0.000446,0 - 4,#FF75FF
15,@ilumno,15,,11,0,11,0.036325,0,28,0,28,0,0,0,0,0.007358,0 - 4,#FF75FF
16,@freddyrrr,16,256,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
17,@mario_yanis,17,196,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
