Year,Africa,Americas,Asia & Oceania,Europe,Middle East
1988,11,9,11,5,20
1989,11,8,10,5,21
1990,11,8,11,5,27
1991,11,7,11,5,28
1992,10,6,10,6,25
1993,11,6,11,6,23
1994,9,6,11,6,23
1995,9,7,11,5,22
1996,10,6,11,5,20
1997,10,5,12,5,19
1998,11,5,11,5,21
1999,13,5,10,5,20
2000,11,5,9,5,19
2001,10,5,9,5,19
2002,9,5,9,5,17
2003,8,5,9,4,17
2004,8,5,9,4,16
2005,8,5,9,5,15
2006,8,5,9,5,14
2007,7,5,9,5,14
2008,7,5,8,5,13
2009,7,4,8,4,14
2010,7,4,8,4,14
2011,7,4,8,4,14
2012,7,4,7,4,15
2013,7,4,7,4,14
2014,7,4,8,4,14
2015,7,4,8,4,15
2016,7,4,7,4,15
