origins,destinations,counts,longitude.x,latitude.x,longitude.y,latitude.y
Boston,Syria,10,-71.05888,42.360082,38.998105,35.959411
Los Angeles,Iraq,8,-118.243685,34.052234,43.679291,33.223191
New York,Iran,8,-74.005973,40.712775,53.688046,32.427908
St. Louis,Afganistan,9,-90.199404,38.627003,67.709953,33.93911
San Antonio,Japan,3,-98.493628,29.424122,138.252924,36.204824
Dallas,South Korea,2,-96.796988,32.776664,127.766922,35.907757
Houston,New Guinea,1,-95.369803,29.760427,141.347016,-5.01222
Boulder,Nigeria,1,-105.270546,40.014986,8.675277,9.081999
Denver,Turkey,2,-104.990251,39.739236,35.243322,38.963745
Albuquerque,Colombia,4,-106.650422,35.084386,-74.297333,4.570868
Santa Fe,Iraq,7,-105.937799,35.686975,43.679291,33.223191
Las Cruses,Syria,8,-106.763654,32.31994,38.998105,35.959411
Newark,Japan,6,-74.172367,40.735657,138.252924,36.204824
Miami,Ukraine,7,-80.19179,25.76168,31.16558,48.379433
Memphis,Ukraine,9,-90.04898,35.149534,31.16558,48.379433
Flint,Afganistan,10,-83.687456,43.012527,67.709953,33.93911
